SASE (> SV 50),13499,15964,9684,11031,8746,10024,10015,10369,,1713,2353,1932,1921,2090,1976,2109,3539,,125,80,181,227,107,137,118,189,,7562,8242,8130,8998,9442,10263,10660,10161,,671,849,780,818,1270,1368,1372,1472,,325,423,436,472,,,2456,2410,2352,,43,38,53
Zero Trust / ZTNA (> SV 50),4565,7238,5353,5994,5370,5926,6208,5688,,1983,2275,1776,1854,1442,1352,1462,1955,,49,84,39,19,75,81,55,53,,7219,6300,6434,6942,6334,7388,7193,9993,,215,287,176,357,408,558,352,1096,,8230,10344,11093,9760,,,200,241,234,,1774,1841,1851
Cloud Security,,13433,25775,13737,144268,48266,48119,138334,,,633,450,1008,633,734,821,1550,,,267,279,380,458,840,407,947,,,118654,90426,29305,178295,171256,213347,71718,,,367241,224793,74645,5634,5246,3393,24300,,62044,114510,176313,19111,,,34,36,59,,25634,15386,226115
Ransomware,3312,4354,5383,5796,7556,11049,11290,8071,,636,718,392,561,551,2223,3294,4142,,8,9,25,48,40,29,20,46,,1150,1340,1239,1220,1416,1721,1786,1826,,19231,7786,8295,11713,8505,8967,19872,19340,,4057,4507,3898,4491,,,30,2,7,,2286,2378,2139
AI CyberSecurity,,,,,,959,1661,1435,,,,,,,125,149,141,,,,,,,0,13,0,,,,,,,1252,1430,834,,,,,,,301,294,207,,,154,142,144,,,0,0,0,,659,624,1064
Quantum Security,,,,,,15,12,27,,,,,,,14,12,15,,,,,,,0,0,0,,,,,,,128,128,128,,,,,,,0,0,0,,,,,0,,,,,0,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,,,,,,,
No. of KWs Ranking on Page 1,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
NGFW/Firewall (> SV 50),653,762,791,788,849,862,879,859,,494,510,535,556,584,601,604,661,,41,41,45,51,64,55,66,63,,517,557,611,608,634,719,760,758,,425,430,445,413,400,371,381,361,,38,39,36,40,,,22,29,21,,6,7,6
SD WAN (> SV 50),205,257,271,277,282,284,292,277,,249,278,292,284,296,289,291,309,,89,108,110,107,124,106,105,103,,236,270,286,274,277,296,302,293,,21,16,18,16,29,22,24,24,,0,1,1,0,,,142,135,94,,,,
OT Security (> SV 50),25,27,29,28,24,28,28,28,,14,17,20,16,17,13,14,16,,0,0,0,0,0,0,0,,,10,18,15,15,13,18,18,19,,1,0,0,0,0,0,2,2,,1,1,1,1,,,,,0,,1,3,3
SASE (> SV 50),148,161,169,165,167,179,188,179,,102,107,120,114,128,128,131,124,,5,9,7,14,13,16,15,12,,157,160,173,173,174,182,188,190,,13,28,32,37,54,57,52,46,,17,15,13,14,,,186,185,147,,11,11,7
Zero Trust / ZTNA (> SV 50),113,120,134,143,174,180,192,182,,73,89,70,64,69,53,58,60,,3,6,5,3,7,8,5,9,,146,187,177,194,193,179,172,179,,15,21,21,16,29,29,20,20,,176,170,170,170,,,17,19,19,,57,54,47
Cloud Security,,109,142,163,179,199,173,206,,,58,47,57,48,49,38,47,,,11,11,11,14,9,9,10,,,143,150,149,149,164,138,174,,,179,177,175,142,91,86,87,,249,234,198,223,,,7,6,10,,320,317,318
Ransomware,499,564,594,639,660,627,618,597,,69,77,53,57,63,69,68,73,,2,2,5,12,10,8,5,6,,184,205,202,187,212,213,222,209,,349,370,312,288,289,258,237,209,,330,316,311,296,,,,,0,,339,329,314
AI CyberSecurity,,,,,,10,7,11,,,,,,,1,3,4,,,,,,,0,0,,,,,,,,17,18,20,,,,,,,2,2,8,,,8,7,7,,,,,,,26,24,23
Quantum Security,,,,,,3,3,3,,,,,,,4,2,3,,,,,,,0,0,0,,,,,,,6,4,4,,,,,,,,,0,,,,,0,,,,,0,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,,,,,,,
AIO,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
NGFW/Firewall (> SV 50),538,611,474,498,588,615,637,652,,484,530,374,389,462,490,498,534,,82,98,61,55,77,77,79,87,,497,550,420,413,496,558,587,613,,500,542,359,353,389,396,384,406,,47,47,53,61,,,68,74,73,,18,22,27
SD WAN (> SV 50),141,198,149,142,157,160,160,155,,146,201,154,160,164,160,158,164,,74,112,71,62,76,81,80,76,,145,201,149,144,152,162,160,155,,113,148,44,32,54,55,62,57,,0,1,1,0,,,107,108,89,,1,2,2
OT Security (> SV 50),19,22,17,18,13,15,16,14,,20,21,16,14,11,12,15,14,,,,,0,0,1,0,,,18,22,15,13,9,13,16,14,,15,15,6,2,6,7,9,6,,0,1,1,1,,,,,1,,7,8,6
SASE (> SV 50),102,108,111,106,125,127,125,123,,101,103,94,82,105,110,110,114,,60,51,17,21,38,53,55,53,,106,109,112,107,127,136,130,131,,93,97,59,45,76,85,81,78,,32,43,44,37,,,127,124,116,,50,49,46
Zero Trust / ZTNA (> SV 50),165,176,120,120,151,163,175,174,,152,175,89,58,91,102,102,97,,42,52,6,10,22,22,20,28,,160,190,136,140,157,157,165,163,,139,163,48,30,82,98,92,90,,158,163,164,160,,,62,62,62,,77,81,71
Cloud Security,,181,91,104,143,180,180,190,,,142,51,48,95,121,118,122,,,14,10,7,15,16,18,23,,,164,89,77,115,140,153,165,,,181,116,118,138,151,152,156,,149,179,182,191,,,38,39,42,,210,207,203
Ransomware,296,327,207,193,242,243,245,250,,152,164,63,54,91,99,92,92,,27,22,9,8,9,11,10,11,,224,253,89,53,111,128,130,124,,296,329,156,123,176,170,164,152,,189,183,189,181,,,17,23,19,,129,119,115
AI CyberSecurity,,,,,,26,24,27,,,,,,,23,24,27,,,,,,,1,5,4,,,,,,,27,28,33,,,,,,,25,22,24,,,24,22,26,,,7,13,12,,32,33,34
Quantum Security,,,,,,1,1,1,,,,,,,3,3,3,,,,,,,0,,0,,,,,,,2,2,2,,,,,,,1,1,1,,,,,0,,,0,0,0,,0,0,0
